Geneid,transcript_id,transcript_symbol,gene_symbol,rGAL4_lnRi_0.7_1,rGAL4_lnRi_0.7_2,rGAL4_lnRi_0.7_3,log2FoldChange,padj,DA
FBgn0002562,FBtr0073651,Lsp1alpha-RA,Lsp1alpha,860,1204,1243,-6.419987322,1.42E-117,-1
FBgn0283461,FBtr0073073,Drs-RA,Drs,19833,23205,9795,5.970545644,1.76E-107,1
FBgn0032638,FBtr0081004,SPH93-RA,SPH93,15729,12411,8027,4.296666086,1.25E-92,1
FBgn0265577,FBtr0475306,IBIN-RB,IBIN,2816,2479,1390,5.030192796,7.64E-85,1
FBgn0040735,FBtr0086666,BomT2-RA,BomT2,1700,1394,812,6.015092125,1.94E-80,1
FBgn0028514,FBtr0300612,CG4793-RD,CG4793,2029,1801,1069,5.128691057,9.22E-75,1
FBgn0037975,FBtr0082504,CG3397-RA,CG3397,93,63,24,-4.486234472,2.01E-59,-1
FBgn0041183,FBtr0080811,Tep1-RA,Tep1,1073,722,437,5.088853358,1.80E-56,1
FBgn0262683,FBtr0305602,CG43153-RA,CG43153,1129,693,465,6.147509836,2.50E-56,1
FBgn0263321,FBtr0343842;FBtr0308745,CG43402-RB;CG43402-RA,CG43402,1907,949,813,4.939765545,2.36E-46,1
FBgn0003312,FBtr0082475,sad-RA,sad,4210,1918,1450,4.177510297,6.38E-46,1
FBgn0040736,FBtr0340328;FBtr0086665;FBtr0086665;FBtr0340328,BomS3-RB;BomS3-RA;BomS3-RA;BomS3-RB,BomS3,7858,6836,2636,8.572001017,4.00E-42,1
FBgn0036940,FBtr0074866,obst-J-RA,obst-J,1362,951,749,3.834095567,2.00E-41,1
FBgn0040733,FBtr0086727,BomS6-RA,BomS6,501,344,340,4.749524138,8.12E-41,1
FBgn0034331,FBtr0086728;FBtr0300844;FBtr0300844;FBtr0086728,BomBc2-RA;BomBc2-RB;BomBc2-RB;BomBc2-RA,BomBc2,1685,1206,749,9.188120576,9.79E-39,1
FBgn0043575,FBtr0088709,PGRP-SC2-RA,PGRP-SC2,3368,2480,2007,3.585855127,2.45E-38,1
FBgn0033830,FBtr0087720,CG10814-RA,CG10814,911,378,345,5.155756162,3.43E-38,1
FBgn0033128,FBtr0089024,Tsp42Eg-RA,Tsp42Eg,497,324,244,5.724947422,1.10E-36,1
FBgn0030362,FBtr0073575;FBtr0073576;FBtr0073578;FBtr0073577;FBtr0073578;FBtr0073577;FBtr0073575;FBtr0073576;FBtr0073577;FBtr0073578;FBtr0073576;FBtr0073575,regucalcin-RA;regucalcin-RC;regucalcin-RD;regucalcin-RB;regucalcin-RD;regucalcin-RB;regucalcin-RA;regucalcin-RC;regucalcin-RB;regucalcin-RD;regucalcin-RC;regucalcin-RA,regucalcin,2856,1723,1423,-2.498203507,6.15E-36,-1
FBgn0042206,FBtr0344264;FBtr0082609;FBtr0344264;FBtr0082609,GstD10-RB;GstD10-RA;GstD10-RB;GstD10-RA,GstD10,22,6,7,-4.863279434,1.05E-35,-1
FBgn0034011,FBtr0087389,CG8160-RA,CG8160,2298,2476,1000,3.668155266,1.41E-35,1
FBgn0027584,FBtr0082339;FBtr0335216;FBtr0082339;FBtr0335216;FBtr0082339;FBtr0335216;FBtr0082339;FBtr0335216,CG4757-RA;CG4757-RB;CG4757-RA;CG4757-RB;CG4757-RA;CG4757-RB;CG4757-RA;CG4757-RB,CG4757,768,352,535,4.457335271,1.62E-35,1
FBgn0262808,FBtr0306052,CG43179-RA,CG43179,1100,639,411,3.935271684,2.20E-34,1
FBgn0024289,FBtr0081627;FBtr0339932;FBtr0339932;FBtr0081627;FBtr0339932;FBtr0081627;FBtr0339932;FBtr0081627;FBtr0339932;FBtr0081627;FBtr0339932;FBtr0081627,Sodh1-RA;Sodh1-RB;Sodh1-RB;Sodh1-RA;Sodh1-RB;Sodh1-RA;Sodh1-RB;Sodh1-RA;Sodh1-RB;Sodh1-RA;Sodh1-RB;Sodh1-RA,Sodh1,9,6,17,-4.910647708,1.91E-32,-1
FBgn0262112,FBtr0085481,sro-RA,sro,67,48,28,-3.168403466,2.07E-32,-1
FBgn0039645,FBtr0273260,CG11898-RB,CG11898,457,212,287,5.536326211,1.03E-29,1
FBgn0030594,FBtr0343380;FBtr0073978;FBtr0073978;FBtr0343380,fiz-RB;fiz-RA;fiz-RA;fiz-RB,fiz,170,200,149,-2.99354698,8.40E-29,-1
FBgn0004047,FBtr0073821;FBtr0346090;FBtr0073821;FBtr0346090;FBtr0073821;FBtr0346090,Yp3-RA;Yp3-RB;Yp3-RA;Yp3-RB;Yp3-RA;Yp3-RB,Yp3,6,4,4,-5.627009664,1.20E-28,-1
FBgn0015039,FBtr0089055,Cyp9b2-RA,Cyp9b2,262,198,138,-2.770252756,4.74E-27,-1
FBgn0040653,FBtr0345819;FBtr0071559;FBtr0071559;FBtr0345819,Dso1-RB;Dso1-RA;Dso1-RA;Dso1-RB,Dso1,1075,1042,372,9.330571898,8.07E-26,1
FBgn0035241,FBtr0331463;FBtr0072824,CG12105-RB;CG12105-RA,CG12105,245,205,155,4.419624311,2.20E-25,1
FBgn0262473,FBtr0085059;FBtr0330154;FBtr0330155;FBtr0330155;FBtr0330155;FBtr0085059;FBtr0330154;FBtr0330155;FBtr0330154;FBtr0085059;FBtr0330155;FBtr0330154;FBtr0085059,Tl-RB;Tl-RC;Tl-RD;Tl-RD;Tl-RD;Tl-RB;Tl-RC;Tl-RD;Tl-RC;Tl-RB;Tl-RD;Tl-RC;Tl-RB,Tl,1835,1815,815,2.709436267,3.18E-25,1
FBgn0033820,FBtr0087746;FBtr0087747;FBtr0345471;FBtr0087746,CG4716-RB;CG4716-RA;CG4716-RC;CG4716-RB,CG4716,4613,3216,2240,2.572396378,4.67E-25,1
FBgn0028482,FBtr0077425,bdl-RA,bdl,254,197,144,4.445213965,8.48E-25,1
FBgn0261625,FBtr0302977;FBtr0302976;FBtr0302974;FBtr0302975;FBtr0344191;FBtr0302973;FBtr0302972;FBtr0302979;FBtr0339707;FBtr0302978;FBtr0302979;FBtr0302977;FBtr0302976;FBtr0302975;FBtr0302974;FBtr0302973;FBtr0344191;FBtr0302972;FBtr0339707;FBtr0302979;FBtr0302978;FBtr0302977;FBtr0302976;FBtr0302975;FBtr0302974;FBtr0302973;FBtr0302972;FBtr0344191;FBtr0339707;FBtr0302979;FBtr0302978;FBtr0302976;FBtr0302977;FBtr0302975;FBtr0302973;FBtr0302974;FBtr0344191;FBtr0302972;FBtr0302977;FBtr0302976;FBtr0302973;FBtr0302972;FBtr0302977;FBtr0344191;FBtr0339707;FBtr0302978;FBtr0302979;FBtr0302976;FBtr0302975;FBtr0302974;FBtr0302973;FBtr0339707;FBtr0302979;FBtr0302975;FBtr0302976;FBtr0302978;FBtr0302974;FBtr0302973,Gls-RB;Gls-RC;Gls-RA;Gls-RE;Gls-RK;Gls-RD;Gls-RF;Gls-RI;Gls-RJ;Gls-RH;Gls-RI;Gls-RB;Gls-RC;Gls-RE;Gls-RA;Gls-RD;Gls-RK;Gls-RF;Gls-RJ;Gls-RI;Gls-RH;Gls-RB;Gls-RC;Gls-RE;Gls-RA;Gls-RD;Gls-RF;Gls-RK;Gls-RJ;Gls-RI;Gls-RH;Gls-RC;Gls-RB;Gls-RE;Gls-RD;Gls-RA;Gls-RK;Gls-RF;Gls-RB;Gls-RC;Gls-RD;Gls-RF;Gls-RB;Gls-RK;Gls-RJ;Gls-RH;Gls-RI;Gls-RC;Gls-RE;Gls-RA;Gls-RD;Gls-RJ;Gls-RI;Gls-RE;Gls-RC;Gls-RH;Gls-RA;Gls-RD,Gls,4909,4468,2482,2.842794676,9.49E-25,1
FBgn0262607,FBtr0305281,CG43133-RA,CG43133,1118,1094,504,3.551730548,1.06E-23,1
