GO.ID,raw.pval,adj.pval,Term,Ontology,Genes,Regulation,Dataset
GO:0006888,1.36E-04,0.002525103,endoplasmic reticulum to Golgi vesicle-mediated transport,BP,"alphaCOP, Arl1, bai, beta'COP, betaCOP, CG13887, CG17883, CG31787, CG32069, CG5510, CG9067, CHOp24, cni, deltaCOP, eca, ergic53, gammaCOP, KdelR, l(3)76BDm, loj, p24-1, PAPLA1, Rab1, Rab2, Sar1, Sec13, Sec16, Sec22, Sec23, Sec24AB, Sec24CD, Sec31, Trs20, Trs31",Downregulated,OSNs
GO:0016192,1.27E-06,4.01E-05,vesicle-mediated transport,BP,"ALiX, alphaCOP, alphaSnap, Amph, AnxB9, AP-1-2beta, AP-1gamma, AP-1sigma, AP-2alpha, AP-2sigma, Arl1, Arl4, Arl8, ATP6AP2, aux, bai, beta'COP, betaCOP, BicD, brat, bsk, CaBP1, Cadps, CanB2, Cdc42, ced-6, CG13784, CG13887, CG15012, CG17660, CG17883, CG18132, CG30423, CG31729, CG31787, CG32069, CG32576, CG33635, CG41099, CG5104, CG5498, CG5510, CG8507, CG9067, CG9132, Chc, CHOp24, Clc, ClC-b, cni, corn, cpx, Crk, crq, Csp, dco, deltaCOP, drk, eca, EcR, ergic53, Esyt2, ex, fidipidine, Flo1, Fmr1, fwe, gammaCOP, gammaSnap1, gb, Gdi, gish, Gli, Golgin245, Graf, gzl, Hip1, Hsc70-4, Hsp70Ab, Hsp70Bb, Ist1, Itgbn, jagn, jar, KdelR, Klp61F, krz, kst, l(3)76BDm, lap, Lis-1, loj, lqf, lqfR, lt, Mcr, mgl, Moe, mop, mth, Nak, Nedd4, norpA, nuf, numb, O-fut1, p24-1, PAPLA1, Past1, Pcyt1, PGRP-LE, PIP4K, Pld, prtp, pyd, Rab1, Rab10, Rab11, Rab14, Rab19, Rab2, Rab35, Rab4, Rab5, Rab6, Rab7, Rab8, Rac1, Rac2, Rap1, rb, Rel, Rho1, RhoBTB, RhoU, Rme-8, Sar1, sau, Scamp, scb, scrib, Sec10, Sec13, Sec16, Sec22, Sec23, Sec24AB, Sec24CD, Sec31, shi, shrb, Snap25, Snx3, Snx6, spin, Src42A, stac, step, Syb, Synd, Syx1A, Syx4, Syx7, Tao, TM9SF4, Trs20, Trs31, tweek, Ubc6, unc-104, unc-13, Vamp7, vap, Vap33, Vha68-2, Vps11, Vps16A, Vps24, Vps26, Vps35, Vps4, Vps50, Vps52, Vps60, wdp, zetaCOP, Zir",Downregulated,OSNs
GO:0042073,2.91E-05,0.037491224,intraciliary transport,BP,"CG13074, CG3769, CG42366, CG6652, dila, fu, IFT46, IFT52, IFT54, Oseg1, Oseg2, Oseg4, rempA, Ttc30",Upregulated,OSNs
GO:0003341,8.63E-08,0.000490528,cilium movement,BP,"asun, CG10510, CG10859, CG10958, CG13930, CG15701, CG1571, CG17118, CG30259, CG3085, CG3339, CG34124, CG34425, CG9313, Dhc16F, Dhc62B, Dhc93AB, dila, Dnah3, Dnai2, Dpy-30L2, Gas8, hmw, Klp59D, lobo, Mst84Db, Mst84Dd, nsr, orb2, Pkd2, Rsph4a, Tektin-A, Tektin-C, Zmynd10",Upregulated,OSNs
GO:0006357,1.29E-06,0.0033283,regulation of transcription by RNA polymerase II,BP,"Abd-B, acj6, Ada3, amos, Atac3, ATbp, ato, B-H1, B-H2, bab1, bap, bcd, bin, Blimp-1, Bro, bsh, btd, byn, C15, cad, cato, CG1024, CG10348, CG10366, CG10654, CG10669, CG10949, CG10959, CG11085, CG11294, CG11398, CG11504, CG11584, CG11695, CG11696, CG11906, CG12071, CG12219, CG12299, CG12768, CG12769, CG14431, CG14655, CG15269, CG15439, CG15696, CG15812, CG16779, CG16863, CG18476, CG18599, CG2120, CG2129, CG2712, CG2887, CG3032, CG30431, CG31008, CG31875, CG32121, CG32532, CG34205, CG34367, CG3726, CG3815, CG42741, CG4328, CG43347, CG43689, CG4374, CG4404, CG4707, CG4709, CG4744, CG4820, CG4872, CG6026, CG6118, CG6220, CG6654, CG6689, CG6765, CG7101, CG7368, CG7745, CG7786, CG7963, CG8301, CG8388, CG9215, CG9609, CG9876, Clk, croc, CTCF, dany, dar1, Dbx, Dfd, dimm, disco, Dlip3, dmrt11E, dmrt93B, dmrt99B, Doc1, Doc2, Doc3, Drgx, dsf, dsx, dve, dysf, E(spl)m5-HLH, E(spl)m8-HLH, E(spl)mgamma-HLH, E5, ebd1, edl, eg, Eip78C, Elp3, erm, escl, Ets21C, Ets65A, Ets96B, eve, eya, eyg, fd19B, fd3F, fd59A, fd96Ca, Fer3, FoxL1, ftz, GATAe, gcm, gcm2, gl, grau, gsb, gsb-n, Gsc, gt, H15, ham, hb, hbn, Hey, HGTX, HHEX, hkb, HLH3B, HLH4C, HLH54F, Hmx, hng1, Hr4, Hr51, Hr83, ich, ind, Klf15, kmg, kn, kni, lab, Larp7, lbe, Lim1, Lim3, lin, lmd, lms, Lmx1a, lov, lz, MED16, MED25, MED30, MED4, mia, mof, mrn, nau, NC2alpha, Oamb, oc, odd, opa, Optix, org-1, pad, pb, pdm2, per, Plzf, pnr, Poxm, Poxn, Pph13, prd, Prdm13, repo, retn, Rh6, rn, ro, Rpt4R, run, Rx, salr, sens-2, Sidpn, sim, Sirt7, sisA, Six4, slbo, slou, slp1, sna, SNCF, so, sob, Sox100B, Sox15, Sox21a, Sox21b, Spt20, sqz, srp, Sry-delta, ss, Su(var)3-3, tap, TfAP-2, Tfb4, tim, tin, tj, tll, toe, topi, twi, unpg, vls, vnd, Vsx1, Vsx2, wdn, Wdr92, wor, xmas, zen, ZIPIC",Upregulated,OSNs
GO:0007187,8.70E-06,0.013449581,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",BP,"5-HT1A, 5-HT1B, 5-HT2A, 5-HT7, Dop1R1, mAChR-A, mAChR-B, Oamb",Upregulated,OSNs
GO:0007218,1.27E-07,0.000490528,neuropeptide signaling pathway,BP,"AstA, AstC-R2, Capa, CCAP-R, CCHa1, CCHa1-R, CCHa2-R, CCKLR-17D1, CG13995, CrzR, Dh44, FMRFa, Hug, Mip, MsR1, MsR2, NPF, NPFR, Nplp1, Nplp3, Pdfr, PK1-R, PK2-R1, PK2-R2, rk, SIFa, SIFaR, sNPF-R, Tk, TkR86C, TkR99D",Upregulated,OSNs
GO:0060271,3.35E-06,0.006465985,cilium assembly,BP,"B9d1, BBS1, BBS4, BBS5, BBS8, BBS9, Cc2d2a, Cep89, CG10064, CG10510, CG10859, CG10958, CG11356, CG11760, CG13032, CG14020, CG14186, CG14367, CG15701, CG1571, CG17118, CG30259, CG3085, CG34124, CG34425, CG3769, CG42366, Cluap1, dila, Dnai2, Efhc1.2, fy, hmw, IFT46, IFT52, IFT54, in, Klp59D, Mks1, Mst84Db, Mst84Dd, nsr, orb2, OSCP1, Oseg1, Oseg2, Oseg4, Oseg5, rempA, Rsph4a, Sas-4, Tektin-A, Tektin-C, Ttc30, TTLL3B, unc, Zmynd10",Upregulated,OSNs
GO:0008360,0.000186678,0.034913493,regulation of cell shape,BP,"Arpc2, capt, Cdc42, cta, dia, Dok, ed, fog, Frl, Hem, HSPC300, Moe, msn, Mtl, mys, ovo, pbl, PlexA, PlexB, Pten, pyd, Rab11, Rab35, Rac1, Rac2, Rap1, Rho1, RhoBTB, RhoGEF2, Rok, scaf, Sec23, Sec24CD, tyn, zye",Downregulated,OSNs
GO:0008363,3.41E-05,0.011317984,larval chitin-based cuticle development,BP,"arm, Cht2, ck, CrebA, Eogt, fz, fz2, jar, knk, l(2)gl, Lcp1, Lcp2, Lcp3, Lcp9, lgs, obst-A, pan, Sar1, Sec13, Sec23, serp, sgg, SrpRbeta, verm",Downregulated,OSNs
