"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneList","Dataset","Regulation","Source"
"R-DME-156827","L13a-mediated translational silencing of Ceruloplasmin expression","96/1367","101/4391",2.91240004985491e-43,2.24254803838828e-40,1.51444802592455e-40,"31022/43349/37070/41347/40451/39484/31588/36037/43839/44251/40563/39338/36565/34309/33835/36981/39877/37005/3355144/43723/44150/37292/39108/31700/37580/34329/43864/40654/45525/38794/32617/32700/43768/47219/39386/3355124/34352/40687/39480/33214/42789/38208/43532/31106/36855/40587/45682/37589/32953/33710/32635/43594/41843/37235/44260/35098/42761/31613/43103/47218/34754/40060/37849/39433/33654/36985/34526/3354918/31243/34420/37475/45329/37995/37628/33629/36851/38397/49809/38983/39088/36576/41343/31009/41200/43039/31483/34098/44059/43573/35988/31897/34149/35453/36321/33487/37430",96,"RpL22, RpL4, pAbp, RpL3, RpLP0, RpS4, RpL7A, eIF3j, eIF4G1, RpL8, eIF3a, RpL10Ab, eIF3m, RpS2, eIF4A, eIF3b, eIF3e, eIF3c, RpL38, RpL6, RpS15Aa, RpS18, RpS9, RpS6, RpS16, RpL13, RpL10, RpL35A, eIF4E1, RpL18, eIF2alpha, RpS5a, RpS3A, RpS14b, eIF3l, RpL5, RpL7, RpL13A, RpS12, RpLP1, eIF3d1, RpL23A, RpS8, sta, RpLP2, eIF3f1, eIF3h, RpS24, RpS10b, eIF3i, RpS19a, RpS7, eIF2gamma, RpL11, eIF1A, RpS26, RpS3, RpL17, RpL27, RpS14a, RpL24, RpL26, RpL39, eIF2beta, RpL27A, RpL18A, RpL9, RpL15, eIF3g1, RpS27A, eIF3k, RpL12, RpL19, RpL23, RpL40, RpS15, RpL28, eIF4H1, RpL14, RpS17, RpS23, RpS25, RpL36, RpS29, RpS27, RpL35, RpL36A, RpL30, RpL32, RpL31, RpS28b, RpS13, RpL21, RpS11, RpS21, RpL29","OSNs","down","Reactome"
"R-DME-72689","Formation of a pool of free 40S subunits","88/1367","91/4391",1.48343877747078e-41,5.7112392932625e-39,3.85694082142402e-39,"31022/43349/41347/40451/39484/31588/36037/44251/40563/39338/36565/34309/36981/39877/37005/3355144/43723/44150/37292/39108/31700/37580/34329/43864/40654/38794/32700/43768/47219/39386/3355124/34352/40687/39480/33214/42789/38208/43532/31106/36855/40587/45682/37589/32953/33710/32635/43594/37235/44260/35098/42761/31613/43103/47218/34754/40060/37849/33654/36985/34526/3354918/31243/34420/37475/45329/37995/37628/33629/36851/38397/38983/39088/36576/41343/31009/41200/43039/31483/34098/44059/43573/35988/31897/34149/35453/36321/33487/37430",88,"RpL22, RpL4, RpL3, RpLP0, RpS4, RpL7A, eIF3j, RpL8, eIF3a, RpL10Ab, eIF3m, RpS2, eIF3b, eIF3e, eIF3c, RpL38, RpL6, RpS15Aa, RpS18, RpS9, RpS6, RpS16, RpL13, RpL10, RpL35A, RpL18, RpS5a, RpS3A, RpS14b, eIF3l, RpL5, RpL7, RpL13A, RpS12, RpLP1, eIF3d1, RpL23A, RpS8, sta, RpLP2, eIF3f1, eIF3h, RpS24, RpS10b, eIF3i, RpS19a, RpS7, RpL11, eIF1A, RpS26, RpS3, RpL17, RpL27, RpS14a, RpL24, RpL26, RpL39, RpL27A, RpL18A, RpL9, RpL15, eIF3g1, RpS27A, eIF3k, RpL12, RpL19, RpL23, RpL40, RpS15, RpL28, RpL14, RpS17, RpS23, RpS25, RpL36, RpS29, RpS27, RpL35, RpL36A, RpL30, RpL32, RpL31, RpS28b, RpS13, RpL21, RpS11, RpS21, RpL29","OSNs","down","Reactome"
"R-DME-72613","Eukaryotic Translation Initiation","100/1367","109/4391",3.00983807609183e-41,5.79393829647677e-39,3.91278949891938e-39,"31022/43349/37070/41347/40451/39484/31588/36037/43839/44251/40563/39338/36565/34309/33835/36981/39877/37005/3355144/43723/44150/37292/39108/31700/37580/34329/43864/40654/45525/38794/32617/32700/43768/47219/39386/3355124/34352/40687/39480/33214/42789/38208/43532/31106/36855/40587/45682/37589/32953/33710/32635/43594/41843/37235/44260/35098/42761/31613/32566/43103/47218/34754/40060/37849/39433/33654/36985/34526/3354918/31243/34420/37475/45329/37995/37628/33629/36851/38397/49809/38983/39088/36576/41343/31009/41200/43039/31483/34098/44059/43573/35988/31897/34149/35453/36321/33487/44261/37430/33569/36722",100,"RpL22, RpL4, pAbp, RpL3, RpLP0, RpS4, RpL7A, eIF3j, eIF4G1, RpL8, eIF3a, RpL10Ab, eIF3m, RpS2, eIF4A, eIF3b, eIF3e, eIF3c, RpL38, RpL6, RpS15Aa, RpS18, RpS9, RpS6, RpS16, RpL13, RpL10, RpL35A, eIF4E1, RpL18, eIF2alpha, RpS5a, RpS3A, RpS14b, eIF3l, RpL5, RpL7, RpL13A, RpS12, RpLP1, eIF3d1, RpL23A, RpS8, sta, RpLP2, eIF3f1, eIF3h, RpS24, RpS10b, eIF3i, RpS19a, RpS7, eIF2gamma, RpL11, eIF1A, RpS26, RpS3, RpL17, eIF5, RpL27, RpS14a, RpL24, RpL26, RpL39, eIF2beta, RpL27A, RpL18A, RpL9, RpL15, eIF3g1, RpS27A, eIF3k, RpL12, RpL19, RpL23, RpL40, RpS15, RpL28, eIF4H1, RpL14, RpS17, RpS23, RpS25, RpL36, RpS29, RpS27, RpL35, RpL36A, RpL30, RpL32, RpL31, RpS28b, RpS13, RpL21, RpS11, RpS21, eIF5B, RpL29, Thor, eIF2Bgamma","OSNs","down","Reactome"
"R-DME-72737","Cap-dependent Translation Initiation","100/1367","109/4391",3.00983807609183e-41,5.79393829647677e-39,3.91278949891938e-39,"31022/43349/37070/41347/40451/39484/31588/36037/43839/44251/40563/39338/36565/34309/33835/36981/39877/37005/3355144/43723/44150/37292/39108/31700/37580/34329/43864/40654/45525/38794/32617/32700/43768/47219/39386/3355124/34352/40687/39480/33214/42789/38208/43532/31106/36855/40587/45682/37589/32953/33710/32635/43594/41843/37235/44260/35098/42761/31613/32566/43103/47218/34754/40060/37849/39433/33654/36985/34526/3354918/31243/34420/37475/45329/37995/37628/33629/36851/38397/49809/38983/39088/36576/41343/31009/41200/43039/31483/34098/44059/43573/35988/31897/34149/35453/36321/33487/44261/37430/33569/36722",100,"RpL22, RpL4, pAbp, RpL3, RpLP0, RpS4, RpL7A, eIF3j, eIF4G1, RpL8, eIF3a, RpL10Ab, eIF3m, RpS2, eIF4A, eIF3b, eIF3e, eIF3c, RpL38, RpL6, RpS15Aa, RpS18, RpS9, RpS6, RpS16, RpL13, RpL10, RpL35A, eIF4E1, RpL18, eIF2alpha, RpS5a, RpS3A, RpS14b, eIF3l, RpL5, RpL7, RpL13A, RpS12, RpLP1, eIF3d1, RpL23A, RpS8, sta, RpLP2, eIF3f1, eIF3h, RpS24, RpS10b, eIF3i, RpS19a, RpS7, eIF2gamma, RpL11, eIF1A, RpS26, RpS3, RpL17, eIF5, RpL27, RpS14a, RpL24, RpL26, RpL39, eIF2beta, RpL27A, RpL18A, RpL9, RpL15, eIF3g1, RpS27A, eIF3k, RpL12, RpL19, RpL23, RpL40, RpS15, RpL28, eIF4H1, RpL14, RpS17, RpS23, RpS25, RpL36, RpS29, RpS27, RpL35, RpL36A, RpL30, RpL32, RpL31, RpS28b, RpS13, RpL21, RpS11, RpS21, eIF5B, RpL29, Thor, eIF2Bgamma","OSNs","down","Reactome"
"R-DME-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","75/1367","78/4391",6.212923951206e-35,9.56790288485724e-33,6.46144090925424e-33,"31022/43349/41347/40451/39484/31588/44251/39338/34309/3355144/43723/44150/37292/39108/31700/37580/34329/43864/40654/38794/32700/43768/47219/3355124/34352/40687/39480/33214/38208/43532/31106/36855/37589/32953/32635/43594/37235/35098/42761/31613/43103/47218/34754/40060/37849/33654/36985/34526/3354918/34420/45329/37995/37628/33629/36851/38397/38983/39088/36576/41343/31009/41200/43039/31483/34098/44059/43573/35988/31897/34149/35453/36321/33487/44261/37430",75,"RpL22, RpL4, RpL3, RpLP0, RpS4, RpL7A, RpL8, RpL10Ab, RpS2, RpL38, RpL6, RpS15Aa, RpS18, RpS9, RpS6, RpS16, RpL13, RpL10, RpL35A, RpL18, RpS5a, RpS3A, RpS14b, RpL5, RpL7, RpL13A, RpS12, RpLP1, RpL23A, RpS8, sta, RpLP2, RpS24, RpS10b, RpS19a, RpS7, RpL11, RpS26, RpS3, RpL17, RpL27, RpS14a, RpL24, RpL26, RpL39, RpL27A, RpL18A, RpL9, RpL15, RpS27A, RpL12, RpL19, RpL23, RpL40, RpS15, RpL28, RpL14, RpS17, RpS23, RpS25, RpL36, RpS29, RpS27, RpL35, RpL36A, RpL30, RpL32, RpL31, RpS28b, RpS13, RpL21, RpS11, RpS21, eIF5B, RpL29","OSNs","down","Reactome"
"R-DME-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","79/1367","85/4391",1.0029615376678e-33,1.28713397334034e-31,8.69233332645425e-32,"31022/43349/37070/41347/40451/40240/39484/31588/43839/44251/39338/34309/3355144/43723/44150/37292/39108/31700/37580/34329/43864/40654/38794/32700/43768/47219/3355124/34352/40687/39480/33214/38208/43532/31106/36855/34658/37589/32953/32635/43594/37235/35098/42761/31613/43103/47218/34754/40060/37849/33654/36985/34526/3354918/34420/45329/37995/37628/33629/36851/38397/38983/39088/36576/41343/31009/41200/43039/31483/34098/44059/43573/35988/31897/34149/35453/36321/33487/44409/37430",79,"RpL22, RpL4, pAbp, RpL3, RpLP0, eRF1, RpS4, RpL7A, eIF4G1, RpL8, RpL10Ab, RpS2, RpL38, RpL6, RpS15Aa, RpS18, RpS9, RpS6, RpS16, RpL13, RpL10, RpL35A, RpL18, RpS5a, RpS3A, RpS14b, RpL5, RpL7, RpL13A, RpS12, RpLP1, RpL23A, RpS8, sta, RpLP2, eRF3, RpS24, RpS10b, RpS19a, RpS7, RpL11, RpS26, RpS3, RpL17, RpL27, RpS14a, RpL24, RpL26, RpL39, RpL27A, RpL18A, RpL9, RpL15, RpS27A, RpL12, RpL19, RpL23, RpL40, RpS15, RpL28, RpL14, RpS17, RpS23, RpS25, RpL36, RpS29, RpS27, RpL35, RpL36A, RpL30, RpL32, RpL31, RpS28b, RpS13, RpL21, RpS11, RpS21, Cbp80, RpL29","OSNs","down","Reactome"
"R-DME-1799339","SRP-dependent cotranslational protein targeting to membrane","77/1367","83/4391",9.66722839711558e-33,1.06339512368271e-30,7.18136966642872e-31,"31022/43349/41347/40451/39484/31588/44251/39338/34309/3355144/43723/44150/37292/39108/31700/37580/34329/43864/40654/38794/32700/43768/47219/3355124/34352/40687/39480/33214/38208/43532/31106/36855/37589/32953/32635/43594/37235/35098/42761/31613/43103/47218/34754/40060/37849/33654/36985/34526/3354918/34420/45329/37995/38883/37628/33629/36851/38397/38983/39088/36576/41343/31009/41200/43039/31483/34098/44059/43573/35988/31897/34149/35453/36321/33487/37430/38815/38593",77,"RpL22, RpL4, RpL3, RpLP0, RpS4, RpL7A, RpL8, RpL10Ab, RpS2, RpL38, RpL6, RpS15Aa, RpS18, RpS9, RpS6, RpS16, RpL13, RpL10, RpL35A, RpL18, RpS5a, RpS3A, RpS14b, RpL5, RpL7, RpL13A, RpS12, RpLP1, RpL23A, RpS8, sta, RpLP2, RpS24, RpS10b, RpS19a, RpS7, RpL11, RpS26, RpS3, RpL17, RpL27, RpS14a, RpL24, RpL26, RpL39, RpL27A, RpL18A, RpL9, RpL15, RpS27A, RpL12, RpL19, Srp9, RpL23, RpL40, RpS15, RpL28, RpL14, RpS17, RpS23, RpS25, RpL36, RpS29, RpS27, RpL35, RpL36A, RpL30, RpL32, RpL31, RpS28b, RpS13, RpL21, RpS11, RpS21, RpL29, Srp19, Srp54k","OSNs","down","Reactome"
"R-DME-927802","Nonsense-Mediated Decay (NMD)","85/1367","98/4391",7.58144853177261e-31,6.48635041051657e-29,4.38039248502418e-29,"31022/43349/37070/41347/40451/40240/39484/31588/43839/44251/39338/34309/3355144/43723/44150/37292/39108/31700/37580/34329/43864/40654/38794/32700/43768/47219/3355124/34352/40687/39480/33214/38208/43532/31106/36855/34658/37589/32953/45959/47877/32635/43594/37235/35098/42761/31613/37402/43103/47218/34754/40060/37849/2768940/33654/36985/34526/3354918/34420/45329/37995/37628/33629/36851/38397/38983/39088/36576/41343/31009/41200/43039/31483/34098/44059/43573/35988/31897/42994/34149/40987/35453/36321/33487/44409/37430",85,"RpL22, RpL4, pAbp, RpL3, RpLP0, eRF1, RpS4, RpL7A, eIF4G1, RpL8, RpL10Ab, RpS2, RpL38, RpL6, RpS15Aa, RpS18, RpS9, RpS6, RpS16, RpL13, RpL10, RpL35A, RpL18, RpS5a, RpS3A, RpS14b, RpL5, RpL7, RpL13A, RpS12, RpLP1, RpL23A, RpS8, sta, RpLP2, eRF3, RpS24, RpS10b, mts, tws, RpS19a, RpS7, RpL11, RpS26, RpS3, RpL17, mago, RpL27, RpS14a, RpL24, RpL26, RpL39, Pp2A-29B, RpL27A, RpL18A, RpL9, RpL15, RpS27A, RpL12, RpL19, RpL23, RpL40, RpS15, RpL28, RpL14, RpS17, RpS23, RpS25, RpL36, RpS29, RpS27, RpL35, RpL36A, RpL30, RpL32, RpL31, RpS28b, Smg6, RpS13, CG7483, RpL21, RpS11, RpS21, Cbp80, RpL29","OSNs","down","Reactome"
"R-DME-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","85/1367","98/4391",7.58144853177261e-31,6.48635041051657e-29,4.38039248502418e-29,"31022/43349/37070/41347/40451/40240/39484/31588/43839/44251/39338/34309/3355144/43723/44150/37292/39108/31700/37580/34329/43864/40654/38794/32700/43768/47219/3355124/34352/40687/39480/33214/38208/43532/31106/36855/34658/37589/32953/45959/47877/32635/43594/37235/35098/42761/31613/37402/43103/47218/34754/40060/37849/2768940/33654/36985/34526/3354918/34420/45329/37995/37628/33629/36851/38397/38983/39088/36576/41343/31009/41200/43039/31483/34098/44059/43573/35988/31897/42994/34149/40987/35453/36321/33487/44409/37430",85,"RpL22, RpL4, pAbp, RpL3, RpLP0, eRF1, RpS4, RpL7A, eIF4G1, RpL8, RpL10Ab, RpS2, RpL38, RpL6, RpS15Aa, RpS18, RpS9, RpS6, RpS16, RpL13, RpL10, RpL35A, RpL18, RpS5a, RpS3A, RpS14b, RpL5, RpL7, RpL13A, RpS12, RpLP1, RpL23A, RpS8, sta, RpLP2, eRF3, RpS24, RpS10b, mts, tws, RpS19a, RpS7, RpL11, RpS26, RpS3, RpL17, mago, RpL27, RpS14a, RpL24, RpL26, RpL39, Pp2A-29B, RpL27A, RpL18A, RpL9, RpL15, RpS27A, RpL12, RpL19, RpL23, RpL40, RpS15, RpL28, RpL14, RpS17, RpS23, RpS25, RpL36, RpS29, RpS27, RpL35, RpL36A, RpL30, RpL32, RpL31, RpS28b, Smg6, RpS13, CG7483, RpL21, RpS11, RpS21, Cbp80, RpL29","OSNs","down","Reactome"
"R-DME-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","54/1367","57/4391",2.09488245588385e-24,1.61305949103057e-22,1.0893388770596e-22,"37070/39484/36037/43839/40563/36565/34309/33835/36981/39877/37005/44150/37292/39108/31700/37580/45525/32617/32700/43768/47219/39386/39480/42789/43532/31106/40587/45682/37589/32953/33710/32635/43594/41843/44260/35098/42761/47218/39433/31243/34420/37475/36851/49809/39088/36576/41343/41200/43039/31897/34149/36321/33487/33569",54,"pAbp, RpS4, eIF3j, eIF4G1, eIF3a, eIF3m, RpS2, eIF4A, eIF3b, eIF3e, eIF3c, RpS15Aa, RpS18, RpS9, RpS6, RpS16, eIF4E1, eIF2alpha, RpS5a, RpS3A, RpS14b, eIF3l, RpS12, eIF3d1, RpS8, sta, eIF3f1, eIF3h, RpS24, RpS10b, eIF3i, RpS19a, RpS7, eIF2gamma, eIF1A, RpS26, RpS3, RpS14a, eIF2beta, eIF3g1, RpS27A, eIF3k, RpS15, eIF4H1, RpS17, RpS23, RpS25, RpS29, RpS27, RpS28b, RpS13, RpS11, RpS21, Thor","OSNs","down","Reactome"
