"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneList","Dataset","Regulation","Source"
"R-DME-375280","Amine ligand-binding receptors","9/651","10/4391",2.86543351879463e-07,0.000190264785647964,0.000182784496041005,"42452/31626/43669/37892/37196/33007/37191/43182/41726",9,"Oct-TyrR, mAChR-C, 5-HT7, mAChR-A, 5-HT1A, Dop2R, 5-HT1B, CG12290, Dop1R1","OSNs","up","Reactome"
"R-DME-373076","Class A/1 (Rhodopsin-like receptors)","23/651","56/4391",1.47052935292569e-06,0.000470788998576603,0.000452279855956597,"41889/42452/41221/31626/43669/43642/5740505/37892/31169/43098/35639/45908/37196/42133/49808/33007/37191/43182/39152/34339/39389/41726/40019",23,"Rh6, Oct-TyrR, Spn85F, mAChR-C, 5-HT7, Spn100A, Lgr4, mAChR-A, CG4313, Lgr3, Spn43Ad, nec, 5-HT1A, Lgr1, Spn42Dd, Dop2R, 5-HT1B, CG12290, Ilp4, Spn31A, Rh7, Dop1R1, AstC-R2","OSNs","up","Reactome"
"R-DME-500792","GPCR ligand binding","23/651","57/4391",2.12705872850875e-06,0.000470788998576603,0.000452279855956597,"41889/42452/41221/31626/43669/43642/5740505/37892/31169/43098/35639/45908/37196/42133/49808/33007/37191/43182/39152/34339/39389/41726/40019",23,"Rh6, Oct-TyrR, Spn85F, mAChR-C, 5-HT7, Spn100A, Lgr4, mAChR-A, CG4313, Lgr3, Spn43Ad, nec, 5-HT1A, Lgr1, Spn42Dd, Dop2R, 5-HT1B, CG12290, Ilp4, Spn31A, Rh7, Dop1R1, AstC-R2","OSNs","up","Reactome"
"R-DME-388396","GPCR downstream signalling","48/651","170/4391",3.21331542839326e-06,0.000511400897580641,0.000491295091841897,"41889/42452/33812/41221/42530/41639/31626/43892/32874/31744/43669/43642/43542/40148/36003/34991/43644/5740505/37892/39835/31169/32674/35535/43098/35639/45908/38050/37196/34594/42133/38284/41713/49808/35738/33007/37191/37004/5740362/35237/43182/39152/53426/34339/39389/41726/33942/40019/41638",48,"Rh6, Oct-TyrR, TrissinR, Spn85F, SIFaR, PK2-R1, mAChR-C, sif, CG42450, Gbeta5, 5-HT7, Spn100A, trp, Gbeta76C, trpl, Trpgamma, Pka-C2, Lgr4, mAChR-A, CG43373, CG4313, RSG7, CCHa2-R, Lgr3, Spn43Ad, nec, RhoGEF3, 5-HT1A, Pde1c, Lgr1, ACXD, PK1-R, Spn42Dd, Dgk, Dop2R, 5-HT1B, CCHa1-R, CG34384, cyst, CG12290, Ilp4, ACXE, Spn31A, Rh7, Dop1R1, AkhR, AstC-R2, PK2-R2","OSNs","up","Reactome"
"R-DME-372790","Signaling by GPCR","48/651","171/4391",3.8509103733482e-06,0.000511400897580641,0.000491295091841897,"41889/42452/33812/41221/42530/41639/31626/43892/32874/31744/43669/43642/43542/40148/36003/34991/43644/5740505/37892/39835/31169/32674/35535/43098/35639/45908/38050/37196/34594/42133/38284/41713/49808/35738/33007/37191/37004/5740362/35237/43182/39152/53426/34339/39389/41726/33942/40019/41638",48,"Rh6, Oct-TyrR, TrissinR, Spn85F, SIFaR, PK2-R1, mAChR-C, sif, CG42450, Gbeta5, 5-HT7, Spn100A, trp, Gbeta76C, trpl, Trpgamma, Pka-C2, Lgr4, mAChR-A, CG43373, CG4313, RSG7, CCHa2-R, Lgr3, Spn43Ad, nec, RhoGEF3, 5-HT1A, Pde1c, Lgr1, ACXD, PK1-R, Spn42Dd, Dgk, Dop2R, 5-HT1B, CCHa1-R, CG34384, cyst, CG12290, Ilp4, ACXE, Spn31A, Rh7, Dop1R1, AkhR, AstC-R2, PK2-R2","OSNs","up","Reactome"
"R-DME-549127","Organic cation transport","10/651","16/4391",1.64881976357846e-05,0.00173947318418437,0.00167108552570661,"33059/42374/33051/31883/4379817/42377/40437/40441/40590/37275",10,"run, CG4465, RunxB, lz, RunxA, CG4459, SLC22A, CG7458, CG44098, CG8654","OSNs","up","Reactome"
"R-DME-5617833","Cilium Assembly","25/651","72/4391",1.83378197127871e-05,0.00173947318418437,0.00167108552570661,"38282/42159/38780/34702/36806/41124/37439/33230/34262/35114/33142/33217/38957/33472/39760/38219/35349/36167/33917/41739/33412/39389/34651/40019/40600",25,"Oseg2, CG7794, BBS1, Ttc30, CngA, betaTub85D, BBS9, rempA, CG3769, IFT46, Cluap1, BBS8, Oseg1, CG15399, CG13074, Oseg4, Oseg5, BBS4, IFT52, IFT54, robl22E, Rh7, Pkd2, AstC-R2, BBS5","OSNs","up","Reactome"
"R-DME-112316","Neuronal System","47/651","179/4391",3.36508195070939e-05,0.00279301801908879,0.00268321008174985,"31867/318064/38337/37895/37854/40198/40665/42374/31107/31744/31767/40912/5740840/40148/39730/42377/44484/32020/43644/39984/42918/39835/31997/33962/42919/31419/42473/38050/36616/40065/38284/50391/42249/31955/32428/42471/40590/53426/40891/38616/37275/40129/33683/36574/43690/43703/41671",47,"Ir8a, stg1, Fife, SerT, CG10339, Ir76b, Nmdar1, CG4465, Nmdar2, Gbeta5, nAChRalpha3, Nlg3, Shawl, Gbeta76C, pHCl-1, CG4459, GluRIB, Ork1, Pka-C2, Grd, nAChRalpha1, CG43373, X11Lbeta, Nlg2, nAChRalpha2, CG6927, KaiR1D, RhoGEF3, CG12869, Ir75d, ACXD, Grip, ChAT, Hk, eag, Ir93a, CG44098, ACXE, Ir84a, Ir64a, CG8654, Shal, Ir25a, VGAT, chp, pHCl-2, Task6","OSNs","up","Reactome"
"R-DME-5620924","Intraflagellar transport","15/651","35/4391",5.63132958786579e-05,0.00415466982926987,0.00399132833946979,"38282/42159/34702/41124/33230/34262/35114/33142/38957/39760/38219/35349/33917/41739/33412",15,"Oseg2, CG7794, Ttc30, betaTub85D, rempA, CG3769, IFT46, Cluap1, Oseg1, CG13074, Oseg4, Oseg5, IFT52, IFT54, robl22E","OSNs","up","Reactome"
"R-DME-418555","G alpha (s) signalling events","13/651","28/4391",6.44915284854287e-05,0.00428223749143247,0.00411388065917577,"31626/31744/43669/40148/5740505/31169/43098/34594/42133/43182/39152/41726/33942",13,"mAChR-C, Gbeta5, 5-HT7, Gbeta76C, Lgr4, CG4313, Lgr3, Pde1c, Lgr1, CG12290, Ilp4, Dop1R1, AkhR","OSNs","up","Reactome"
"R-DME-416476","G alpha (q) signalling events","26/651","83/4391",9.45243206396273e-05,0.00505287271041273,0.00485421823479727,"41889/33812/41221/42530/41639/31744/43642/43542/40148/36003/34991/37892/31169/35535/35639/45908/41713/49808/35738/37004/5740362/34339/39389/33942/40019/41638",26,"Rh6, TrissinR, Spn85F, SIFaR, PK2-R1, Gbeta5, Spn100A, trp, Gbeta76C, trpl, Trpgamma, mAChR-A, CG4313, CCHa2-R, Spn43Ad, nec, PK1-R, Spn42Dd, Dgk, CCHa1-R, CG34384, Spn31A, Rh7, AkhR, AstC-R2, PK2-R2","OSNs","up","Reactome"
"R-DME-1483166","Synthesis of PA","21/651","61/4391",9.86318303532023e-05,0.00505287271041273,0.00485421823479727,"33064/37540/41135/31938/43461/36895/33244/32496/32339/31925/32230/43086/31939/43671/35218/31532/39515/37539/34609/37672/31775",21,"CG15450, Alp8, phu, Yp2, CG14507, CG6472, CG2839, Alp11, Yp3, CG1986, Agpat1, CG4582, Yp1, Alp4, Alp12, CG5966, CG10116, Alp2, zuc, Gpdh2, Miga","OSNs","up","Reactome"
"R-DME-8935690","Digestion","19/651","53/4391",0.000113616741982194,0.00505287271041273,0.00485421823479727,"37540/41135/37854/34460/37877/40912/32496/34463/43973/41557/33962/33559/43671/35218/37539/41643/43980/59241/36863",19,"Alp8, phu, CG10339, CG18284, CG11406, Nlg3, Alp11, CG31871, Lip1, CG6753, Nlg2, CG2772, Alp4, Alp12, Alp2, Lip3, Lip2, CG18530, Amyrel","OSNs","up","Reactome"
